module,type,title,topic,lessons,lesson_titles,build_status,canvas_module_id,canvas_url,content_json,activity_types,grading_profile,teacher_graded,textbook_pages,selected_interactives,video_plan,youtube_links,stf_title,stf_format,module_quiz,paper_packet_readiness,paper_packet_sources,paper_packet_activity_conversion,paper_packet_notes,savvas_links_total,savvas_links_linked,savvas_links_remaining,next_action,notes
1,standard,The Voyages of Discovery & Commerce and Colonies,Review Topic: Connecting With Past Learnings,R.L1; R.L2,R.L1: The Voyages of Discovery (p. 6-13); R.L2: Commerce and Colonies (p. 14-20),built,22303,https://altus.instructure.com/courses/3768/modules#module_22303,course_planning/content/8-1/module-01.json,eText reading | video check | Interactive Map | Interactive Gallery | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,R.L1 pp. 6-13 | R.L2 pp. 14-20,Interactive Map: The Columbian Exchange | Interactive Map: Spanish Explorers and Settlements in North America | Interactive Gallery: The Early Years at Jamestown,The Columbian Exchange,https://www.youtube.com/watch?v=UC5km6-o2oM,The Colony That Vanished,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook R.L1 pp. 6-13 | Textbook R.L2 pp. 14-20 | Video: https://www.youtube.com/watch?v=UC5km6-o2oM | STF video: https://www.youtube.com/watch?v=sckzQiXapk8 | Savvas Interactive Map: The Columbian Exchange | Savvas Interactive Map: Spanish Explorers and Settlements in North America | Savvas Interactive Gallery: The Early Years at Jamestown | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,"The Columbian Exchange: print or project the map and ask students to identify locations, movement patterns, or cause/effect connections. Spanish Explorers and Settlements in North America: print or project the map and ask students to identify locations, movement patterns, or cause/effect connections. The Early Years at Jamestown: use selected images/captions as a visual evidence set with short observation questions.",Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,5,5,0,Built; review only if content changes.,
2,standard,The 13 Colonies & A Tradition of Liberty,Review Topic: Connecting With Past Learnings,R.L3; R.L4,R.L3: The 13 English Colonies (p. 21-25); R.L4: A Tradition of Liberty and Rights (p. 26-35),built,22304,https://altus.instructure.com/courses/3768/modules#module_22304,course_planning/content/8-1/module-02.json,eText reading | video check | Interactive Map | Interactive Gallery | Interactive Primary Source | Biography | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,R.L3 pp. 21-25 | R.L4 pp. 26-35,Interactive Map: Comparing the English Colonies | Interactive Gallery: The Middle Colonies | Interactive Map: The New England Colonies | Interactive Gallery: A New Kind of Society | Interactive Primary Source: Two Treatises of Government (John Locke) | Biography: John Locke | Biography: Charles de Montesquieu,"The 13 Colonies: New England, Middle, and Southern Colonies Compared | Locke & Montesquieu: The Philosophers Behind the Founders",https://www.youtube.com/watch?v=Ig1-Ibb-Qi0 | https://www.youtube.com/watch?v=O7GvWSSMkis,"The Salem ""Bad Bread"" Mystery",choice,"pool 20, shows 10, attempts 2, pass 70%",sources tracked,Textbook R.L3 pp. 21-25 | Textbook R.L4 pp. 26-35 | Video: https://www.youtube.com/watch?v=Ig1-Ibb-Qi0 | Video: https://www.youtube.com/watch?v=O7GvWSSMkis | STF video: https://www.youtube.com/watch?v=JmH7XQoxOZ0 | Savvas Interactive Map: Comparing the English Colonies | Savvas Interactive Gallery: The Middle Colonies | Savvas Interactive Map: The New England Colonies | Savvas Interactive Gallery: A New Kind of Society | Savvas Interactive Primary Source: Two Treatises of Government (John Locke) | Savvas Biography: John Locke | Savvas Biography: Charles de Montesquieu | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,"Comparing the English Colonies: print or project the map and ask students to identify locations, movement patterns, or cause/effect connections. The Middle Colonies: use selected images/captions as a visual evidence set with short observation questions. The New England Colonies: print or project the map and ask students to identify locations, movement patterns, or cause/effect connections. A New Kind of Society: use selected images/captions as a visual evidence set with short observation questions. Two Treatises of Government (John Locke): use a short excerpt with sourcing, context, and main-idea questions. John Locke: convert into short paper comprehension questions. Charles de Montesquieu: convert into short paper comprehension questions.",Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,9,3,6,Run Savvas linking pass for remaining items.,"ASSEMBLED except Video Check questions, which are PENDING the two video transcripts (Baptiste to paste). All interactives kept (his rule). eText Savvas links were not in the old descriptions (may be external_tool form) so they are TODO; check before/after build. Then build + reposition after Module 1."
3,standard,The French and Indian War & Growing Resentment Against Britain,Topic 1: The Revolutionary Era,T1.L1; T1.L2,T1.L1: The French and Indian War (p. 43-51); T1.L2: Growing Resentment Against Britain (p. 52-63),built,22305,https://altus.instructure.com/courses/3768/modules#module_22305,course_planning/content/8-1/module-03.json,eText reading | video check | Video | Interactive Map | Interactive Chart | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T1.L1 pp. 43-51 | T1.L2 pp. 52-63,Video: Causes and Results of the French and Indian War | Interactive Map: Major Battles of the French and Indian War | Interactive Chart: Effects of the French and Indian War | Interactive Chart: Crisis on the Frontier,"The French and Indian War Explained | Tea, Tar and Tyranny",https://www.youtube.com/watch?v=9n-gsgqaUo0 | https://www.youtube.com/watch?v=9W_FXW65voE,Washington's Insane Luck,choice,"pool 17, shows 10, attempts 2, pass 70%",sources tracked,Textbook T1.L1 pp. 43-51 | Textbook T1.L2 pp. 52-63 | Video: https://www.youtube.com/watch?v=9n-gsgqaUo0 | Video: https://www.youtube.com/watch?v=9W_FXW65voE | STF video: https://www.youtube.com/watch?v=SzBEcYTVtfM | Savvas Video: Causes and Results of the French and Indian War | Savvas Interactive Map: Major Battles of the French and Indian War | Savvas Interactive Chart: Effects of the French and Indian War | Savvas Interactive Chart: Crisis on the Frontier | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,"Causes and Results of the French and Indian War: convert into short paper comprehension questions. Major Battles of the French and Indian War: print or project the map and ask students to identify locations, movement patterns, or cause/effect connections. Effects of the French and Indian War: convert the chart into a compare/sort/table activity with short answer checks. Crisis on the Frontier: convert the chart into a compare/sort/table activity with short answer checks.",Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,6,1,5,Run Savvas linking pass for remaining items.,"ASSEMBLED 2026-05-22 by harvesting old 'Lesson 4' (21218 = T1.L1) and 'Lesson 5' (21219, questions 1-7 = T1.L2; questions 8-10 = T1.L3 saved for Module 4). DECISIONS TO REVIEW: (1) STF = Washington's Insane Luck (L1, has video); Lesson 5's 'Tar and Feathers' STF dropped (one STF per module) - swap if preferred. (2) Kept the Savvas 'Causes and Results' video as a Savvas activity so no content is lost. (3) Video Check questions are LIGHT/general (no transcript yet). LINKS: only the Effects chart has a recovered retrieve UUID; eTexts + Major Battles map + Crisis on the Frontier + the Savvas video are placeholders for the final linking phase (they were external_tool/gateway-only in the old module)."
4,standard,Taking Up Arms,Topic 1: The Revolutionary Era,T1.L3,T1.L3: Taking Up Arms (p. 64-74),built,22315,https://altus.instructure.com/courses/3768/modules#module_22315,course_planning/content/8-1/module-04.json,eText reading | video check | Interactive Gallery | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T1.L3 pp. 64-74,Interactive Gallery: Important People of the American Revolution,The American Revolution - OverSimplified (Part 1),https://www.youtube.com/watch?v=gzALIXcY4pg&t=445s,The True Story of Paul Revere's Famous Midnight Ride,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T1.L3 pp. 64-74 | Video: https://www.youtube.com/watch?v=gzALIXcY4pg&t=445s | STF video: https://www.youtube.com/watch?v=QeQGWTBl2x8 | Savvas Interactive Gallery: Important People of the American Revolution | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,Important People of the American Revolution: use selected images/captions as a visual evidence set with short observation questions.,Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,2,0,2,Run Savvas linking pass for remaining items.,"ASSEMBLED 2026-05-22 from old 'Lesson 5' (21219) T1.L3 content. Quiz: 3 harvested (Lexington, Olive Branch, Loyalists) + 7 written by Claude (Baptiste authorized 'make up the rest'); pool 10 draws 7. NEEDS FROM BAPTISTE: a Taking-Up-Arms video link (currently the verified 'American Revolution in 5 Min' overview as a flagged STAND-IN). STF 'Paul Revere's Midnight Ride' is original (text-only). Interactive is light (only 'Important People' gallery existed). LINKS: all placeholders (old items were external_tool/gateway-only)."
5,standard,The Move Toward Independence,Topic 1: The Revolutionary Era,T1.L4,T1.L4: The Move Toward Independence (p. 75-87),built,22316,https://altus.instructure.com/courses/3768/modules#module_22316,course_planning/content/8-1/module-05.json,eText reading | video check | Interactive Gallery | Biography | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T1.L4 pp. 75-87,Interactive Gallery: Thomas Paine's Common Sense | Interactive Gallery: Interactive Declaration of Independence | Biography: Thomas Jefferson,"How Thomas Paine's Common Sense Shaped a New World (PBS, The American Revolution)",https://www.youtube.com/watch?v=hBhoD5RcJjM,How a Dying Man Saved Delaware's Vote for Independence,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T1.L4 pp. 75-87 | Video: https://www.youtube.com/watch?v=hBhoD5RcJjM | Savvas Interactive Gallery: Thomas Paine's Common Sense | Savvas Interactive Gallery: Interactive Declaration of Independence | Savvas Biography: Thomas Jefferson | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,Thomas Paine's Common Sense: use selected images/captions as a visual evidence set with short observation questions. Interactive Declaration of Independence: use selected images/captions as a visual evidence set with short observation questions. Thomas Jefferson: convert into short paper comprehension questions.,Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,4,1,3,Run Savvas linking pass for remaining items.,ASSEMBLED 2026-05-22 from old 'Lesson 6' (21220) T1.L4 content. Quiz: 5 harvested (from the 'Toward Independence' screenshot/API) + 5 written by Claude; pool 10 draws 7. NEEDS FROM BAPTISTE: a Move-Toward-Independence YouTube overview link (currently the verified 'American Revolution in 5 Min' as a flagged STAND-IN). STF 'Caesar Rodney's Midnight Ride' is original (text-only). LINKS: Jefferson bio has a recovered link; Common Sense + Declaration galleries are placeholders.
6,standard,Winning Independence,Topic 1: The Revolutionary Era,T1.L5,T1.L5: Winning Independence (p. 88-99),built,22314,https://altus.instructure.com/courses/3768/modules#module_22314,course_planning/content/8-1/module-06.json,eText reading | video check | Interactive Timeline | check for understanding | stranger than fiction (fill-blank) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (unlimited attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T1.L5 pp. 88-99,Interactive Timeline: Foreign Aid Plays a Role,The American Revolution In 5 Minutes,https://www.youtube.com/watch?v=b0ZYNOc1Tck,Washington's Secret Spies,fill-blank,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T1.L5 pp. 88-99 | Video: https://www.youtube.com/watch?v=b0ZYNOc1Tck | STF video: https://www.youtube.com/watch?v=VF8fg58tW68 | Savvas Interactive Timeline: Foreign Aid Plays a Role | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,Foreign Aid Plays a Role: convert the timeline into ordering and cause/effect questions.,Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,2,0,2,Run Savvas linking pass for remaining items.,"ASSEMBLED 2026-05-22 from old 'Lesson 6' (21220) T1.L5 content. FULLY RESOURCED: real harvested YouTube video (American Revolution in 5 Min, b0ZYNOc1Tck) and real harvested STF (Washington's Secret Spies, VF8fg58tW68). Quiz: 5 harvested (T1.L5) + 3 written by Claude; pool 8 draws 6. LINKS: Foreign Aid timeline is a placeholder. This completes Topic 1."
7,standard,Creating the Constitution,A Constitution for the United States (1776–Present),T2.L1; T2.L2; T2.L3,T2.L1: A Weak Confederation (p. 107-113); T2.L2: Drafting a Constitution (p. 114-119); T2.L3: Ideas That Influenced the Constitution (p. 120-126),built,22300,https://altus.instructure.com/courses/3768/modules#module_22300,course_planning/content/8-1/module-07.json,eText reading | video check | Interactive Chart | Interactive Gallery | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T2.L1 pp. 107-113 | T2.L2 pp. 114-119 | T2.L3 pp. 120-126,Interactive Chart: Problems and Effects of the Articles of Confederation | Interactive Chart: The Great Compromise | Interactive Gallery: Two Treatises of Government,The Articles of Confederation | Principles of the United States Constitution,https://www.youtube.com/watch?v=y6bu4Ut3rFA | https://www.youtube.com/watch?v=efi0r5ShSkE,Wait… There Was a 'President' Before Washington?!,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T2.L1 pp. 107-113 | Textbook T2.L2 pp. 114-119 | Textbook T2.L3 pp. 120-126 | Video: https://www.youtube.com/watch?v=y6bu4Ut3rFA | Video: https://www.youtube.com/watch?v=efi0r5ShSkE | STF video: https://www.youtube.com/watch?v=jLyUK4yC6V4 | Savvas Interactive Chart: Problems and Effects of the Articles of Confederation | Savvas Interactive Chart: The Great Compromise | Savvas Interactive Gallery: Two Treatises of Government | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,Problems and Effects of the Articles of Confederation: convert the chart into a compare/sort/table activity with short answer checks. The Great Compromise: convert the chart into a compare/sort/table activity with short answer checks. Two Treatises of Government: use selected images/captions as a visual evidence set with short observation questions.,Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,6,0,6,Run Savvas linking pass for remaining items.,
8,standard,Ratification & How the Constitution Works,A Constitution for the United States (1776–Present),T2.L4; T2.L5,"T2.L4: Federalists, Antifederalists, and the Bill of Rights (p. 127-134); T2.L5: Understanding the Constitution (p. 135-146)",built,22301,https://altus.instructure.com/courses/3768/modules#module_22301,course_planning/content/8-1/module-08.json,eText reading | video check | Biography | Interactive Primary Source | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T2.L4 pp. 127-134 | T2.L5 pp. 135-146,Biography: Alexander Hamilton | Interactive Primary Source: United States Constitution,Constitutional Convention: Federalists v. Anti-Federalists,https://www.youtube.com/watch?v=cVhHSSa7ojY,"Graded a 'C,' Then He Changed the Constitution",choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T2.L4 pp. 127-134 | Textbook T2.L5 pp. 135-146 | Video: https://www.youtube.com/watch?v=cVhHSSa7ojY | STF video: https://www.youtube.com/watch?v=KzRhAvCSaHM | Savvas Biography: Alexander Hamilton | Savvas Interactive Primary Source: United States Constitution | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,"Alexander Hamilton: convert into short paper comprehension questions. United States Constitution: use a short excerpt with sourcing, context, and main-idea questions.",Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,4,0,4,Run Savvas linking pass for remaining items.,
9,standard,Federalism & Citizenship,A Constitution for the United States (1776-Present),T2.L6; T2.L7,T2.L6: Federalism and Amendments (p. 147-156); T2.L7: Citizens' Rights and Responsibilities (p. 157-163),built,22355,https://altus.instructure.com/courses/3768/modules#module_22355,course_planning/content/8-1/module-09.json,eText reading | video check | Interactive Chart | Interactive Gallery | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T2.L6 pp. 147-156 | T2.L7 pp. 157-163,Interactive Chart: Methods of Amending the Constitution | Interactive Gallery: The First Amendment | Interactive Chart: Voting Responsibly | Interactive Chart: Civic Responsibility,What Is Federalism? | Things Explained | The Duties and Responsibilities of Citizens,https://www.youtube.com/watch?v=vHm_b7QOc7U | https://www.youtube.com/watch?v=a2-QL59pVRo,"Old Enough to Fight, Too Young to Vote",ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T2.L6 pp. 147-156 | Textbook T2.L7 pp. 157-163 | Video: https://www.youtube.com/watch?v=vHm_b7QOc7U | Video: https://www.youtube.com/watch?v=a2-QL59pVRo | Savvas Interactive Chart: Methods of Amending the Constitution | Savvas Interactive Gallery: The First Amendment | Savvas Interactive Chart: Voting Responsibly | Savvas Interactive Chart: Civic Responsibility | STF image: assets/module-09-old-enough-to-fight-too-young-to-vote.png | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,Methods of Amending the Constitution: convert the chart into a compare/sort/table activity with short answer checks. The First Amendment: use selected images/captions as a visual evidence set with short observation questions. Voting Responsibly: convert the chart into a compare/sort/table activity with short answer checks. Civic Responsibility: convert the chart into a compare/sort/table activity with short answer checks.,Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,6,0,6,Run Savvas linking pass for remaining items.,
10,standard,Washington's Presidency & the Two-Party System,The Early Republic (1789-1825),T3.L1; T3.L2,T3.L1: Washington's Presidency (p. 171-182); T3.L2: A Two-Party System Develops (p. 183-190),built,22356,https://altus.instructure.com/courses/3768/modules#module_22356,course_planning/content/8-1/module-10.json,eText reading | video check | Interactive Chart | Interactive Map | Interactive Gallery | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T3.L1 pp. 171-182 | T3.L2 pp. 183-190,Interactive Chart: A Controversial Tax | Interactive Map: Foreign Affairs Under Washington | Interactive Gallery: Early American Leaders,Washington: The First President | Exclusive | History | The First Political Parties of the US: Federalist vs Democratic Republicans | History with Ms. H,https://www.youtube.com/watch?v=LO0mlLlKa2I | https://www.youtube.com/watch?v=Tc03pGBxzmY,Would You Fight the Government Over Whiskey?,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T3.L1 pp. 171-182 | Textbook T3.L2 pp. 183-190 | Video: https://www.youtube.com/watch?v=LO0mlLlKa2I | Video: https://www.youtube.com/watch?v=Tc03pGBxzmY | Savvas Interactive Chart: A Controversial Tax | Savvas Interactive Map: Foreign Affairs Under Washington | Savvas Interactive Gallery: Early American Leaders | STF image: assets/module-10-stf-whiskey-rebellion.png | CFU questions: stored in checkForUnderstanding.questions | Module quiz pool: stored in moduleQuiz.questions | STF story/questions: stored in strangerThanFiction,"A Controversial Tax: convert the chart into a compare/sort/table activity with short answer checks. Foreign Affairs Under Washington: print or project the map and ask students to identify locations, movement patterns, or cause/effect connections. Early American Leaders: use selected images/captions as a visual evidence set with short observation questions.",Backfilled from existing Canvas/source JSON on 2026-06-16 for future paper lesson guide generation. Textbook page end ranges come from toc-8.json and should be confirmed against the physical/online textbook before final print distribution.,5,0,5,Run Savvas linking pass for remaining items.,
